Code,Year,life_expectancy,gdp_per_capita,health_spending_pct_gdp,DTP3,MCV1,gini,share_below_6_85,neonatal,tuberculosis,hiv_aids,neoplasms,cardiovascular,gdp_log,neonatal_log,tuberculosis_log,hiv_aids_log
ARG,2014,76.7549,20635.297,6.327302,94.0,95.0,0.4163279,9.139349,9.8,1.73,4.1,178.58,217.65,4.314610723978295,2.379546134130174,1.0043016091968684,1.62924053973028
ARG,2016,76.3077,20887.232,5.5911865,92.0,90.0,0.42032528,8.778286,8.23,1.73,4.14,185.2,228.68,4.319880890589403,2.222459048514761,1.0043016091968684,1.6370530794670737
ARG,2017,76.833,23272.184,6.599356,86.0,89.0,0.4113449,7.874461,7.76,1.7,4.09,187.72,230.25,4.36683714197348,2.1701959049483,0.9932517730102833,1.6272778305624314
ARG,2018,76.9994,23018.549,5.935803,86.0,94.0,0.413425,9.66857,7.47,1.64,4.02,187.38,225.6,4.362077943917827,2.136530508663963,0.9707789171582247,1.6134299337036377
ARG,2019,77.2845,21826.838,5.9305573,83.0,86.0,0.4290585,11.179841,7.28,1.62,3.95,189.47,226.19,4.33899082509916,2.1138429683971682,0.9631743177730056,1.599387576580599
ARM,2001,70.932,4040.34,1.3390822,94.0,93.0,0.3536436,83.79924,15.43,4.64,0.03,157.63,412.02,3.6064179131083214,2.799108932049177,1.7298840655099674,0.0295588022415444
ARM,2002,71.0179,4396.316,1.1718423,94.0,91.0,0.34779674,82.89501,14.63,5.04,0.03,161.93,424.17,3.6430889012500827,2.749192144433385,1.7984040119467235,0.0295588022415444
ARM,2003,71.4356,5031.019,1.2063595,94.0,94.0,0.33028087,82.57592,14.05,5.1,0.03,167.36,437.98,3.701655957472752,2.711377991194885,1.8082887711792655,0.0295588022415444
ARM,2004,71.4205,5389.253,1.2941115,91.0,92.0,0.37505633,73.488144,13.66,5.1,0.07,168.83,439.6,3.731528572151377,2.6851226964585053,1.8082887711792655,0.06765864847381481
ARM,2005,71.7922,6023.9185,1.4784117,90.0,94.0,0.35992354,67.46391,13.17,5.19,0.13,174.56,448.98,3.779879087488841,2.6511270537025893,1.8229350866965048,0.12221763272424921
ARM,2006,71.9868,6901.371,1.5864077,87.0,92.0,0.29709986,62.80611,12.57,5.52,0.33,180.88,456.8,3.838935374590743,2.6078614738467776,1.8748743759385615,0.2851789422336624
ARM,2007,72.3271,7882.088,1.6138926,88.0,92.0,0.31226057,55.97316,11.73,5.41,0.24,182.43,453.37,3.8966412792610057,2.543961412569315,1.8578592709325787,0.2151113796169455
ARM,2008,72.3985,8643.752,1.4881327,89.0,94.0,0.2918814,52.14972,11.32,5.44,0.41,189.32,460.2,3.93670229794089,2.511223958105374,1.8625285401162623,0.3435897043900769
ARM,2009,72.8125,8038.7026,1.8116914,93.0,96.0,0.2801588,60.747547,10.9,5.09,0.41,191.31,457.58,3.9051859617923004,2.4765384001174837,1.8066480817218056,0.3435897043900769
ARM,2010,73.1597,8880.064,1.6862897,94.0,97.0,0.29992583,62.107162,10.3,4.71,0.34,193.51,460.34,3.9484160958176417,2.424802725718295,1.742219023667919,0.29266961396282004
ARM,2011,73.3045,9795.726,1.6728649,95.0,97.0,0.29352945,59.254326,9.72,4.34,0.34,194.88,459.49,3.9910366288054453,2.372111155642656,1.6752256529721035,0.29266961396282004
